ArrayOrder:	1,	 DatasetArray:	D1A11, 	5oclock shadow: yes (43%), age: 27 (60%), arched eyebrows: no (50%), attractive: no (19%), bags under eyes: no (10%), bald: no (99%), bangs: no (79%), beard: yes (3%), big lips: no (41%), big nose: no (14%), black hair: yes (59%), blond hair: no, blurry: no (79%), brown hair: no (62%), bushy eyebrows: yes (91%), chubby: no (54%), double chin: no (81%), expression: neutral (75%), gender: male (99%), glasses: no, goatee: no (43%), gray hair: no, heavy makeup: no (96%), high cheekbones: no (67%), mouth open: no, mustache: no (37%), narrow eyes: no (78%), oval face: yes (50%), pale skin: no (79%), pitch: -10.01, pointy nose: no (65%), race: white (98%), receding hairline: no (74%), rosy cheeks: no (98%), sideburns: no (55%), straight hair: yes (19%), wavy hair: no (79%), wearing earrings: no (74%), wearing hat: no (35%), wearing lipstick: no, wearing necklace: no, wearing necktie: no (3%), yaw: 1.06, young: yes (86%), chin size: extra large, color eyes: 563c2f (57%), color hair: 0e0502 (87%), color skin: 9b6140, eyebrows corners: average, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: low, eyes distance: far, eyes position: average, eyes shape: round, glasses rim: no, hair beard: none, hair color type: black (87%), hair forehead: yes, hair length: none, hair mustache: none, hair sides: very thin, hair top: short, head shape: extra rect, head width: extra narrow, mouth corners: average, mouth height: thin, mouth width: small, nose shape: extra straight, nose width: extra narrow, teeth visible: no,
ArrayOrder:	2,	 DatasetArray:	D1A11, 	5oclock shadow: yes (25%), age: 27 (60%), arched eyebrows: no (6%), attractive: no (82%), bags under eyes: yes (3%), bald: no (0%), bangs: no, beard: yes (54%), big lips: yes (58%), big nose: yes (57%), black hair: yes (85%), blond hair: no, blurry: no (85%), brown hair: no, bushy eyebrows: yes, chubby: yes (34%), double chin: no (13%), expression: neutral (89%), gender: male (96%), glasses: no, goatee: yes (38%), gray hair: no (93%), heavy makeup: no (92%), high cheekbones: no (37%), mouth open: no (92%), mustache: yes (37%), narrow eyes: no (94%), oval face: yes (72%), pale skin: no, pitch: -9.64, pointy nose: no, race: mideast (99%), receding hairline: yes (43%), rosy cheeks: no (98%), sideburns: yes (6%), straight hair: no (39%), wavy hair: no, wearing earrings: no (29%), wearing hat: no (34%), wearing lipstick: no (99%), wearing necklace: no (75%), wearing necktie: no (5%), yaw: 3.79, young: yes (51%), chin size: extra large, color clothes middle: ece0d6 (3%), color clothes sides: f3fafb (1%), color eyes: 3d2a29 (79%), color hair: 1b1510 (79%), color skin: 7e422f, eyebrows corners: low, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: extra low, eyes distance: average, eyes position: high, eyes shape: extra round, glasses rim: no, hair beard: none, hair color type: black (79%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: extra rect, head width: extra narrow, mouth corners: extra low, mouth height: thick, mouth width: extra small, nose shape: extra straight, nose width: narrow, teeth visible: no,
ArrayOrder:	3,	 DatasetArray:	D1A11, 	5oclock shadow: yes (48%), age: 18 (60%), arched eyebrows: no (15%), attractive: no (35%), bags under eyes: yes (36%), bald: no (34%), bangs: no (75%), beard: yes (62%), big lips: yes (31%), big nose: yes (77%), black hair: yes, blond hair: no, blurry: no (94%), brown hair: no, bushy eyebrows: yes, chubby: yes (50%), double chin: yes (31%), expression: smile (85%), gender: male, glasses: no, goatee: yes (38%), gray hair: no, heavy makeup: no (89%), high cheekbones: yes (66%), mouth open: no (95%), mustache: yes (50%), narrow eyes: no (51%), oval face: yes (68%), pale skin: no, pitch: -9.75, pointy nose: no, race: mideast (94%), receding hairline: no (17%), rosy cheeks: no (75%), sideburns: yes (18%), straight hair: yes (28%), wavy hair: no, wearing earrings: no (50%), wearing hat: no (50%), wearing lipstick: no (94%), wearing necklace: no (76%), wearing necktie: yes (37%), yaw: -0.83, young: yes (24%), chin size: extra large, color beard: 5e4d46 (67%), color clothes middle: fef1e9 (35%), color eyes: 5b3e3c (48%), color hair: 101011 (59%), color skin: a95f54, eyebrows corners: low, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: average, eyes distance: average, eyes position: average, eyes shape: extra round, glasses rim: no, hair beard: thick, hair color type: black (59%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: short, head shape: extra rect, head width: extra narrow, mouth corners: extra raised, mouth height: average, mouth width: wide, nose shape: extra straight, nose width: wide, teeth visible: no,
ArrayOrder:	4,	 DatasetArray:	D1A11, 	5oclock shadow: yes (47%), age: 26 (60%), arched eyebrows: no (63%), attractive: no (82%), bags under eyes: no (37%), bald: no (48%), bangs: no, beard: yes (86%), big lips: yes (23%), big nose: yes (19%), black hair: yes (98%), blond hair: no, blurry: no (26%), brown hair: no, bushy eyebrows: yes (78%), chubby: no (2%), double chin: no (59%), expression: neutral, gender: male (98%), glasses: no, goatee: yes (74%), gray hair: no, heavy makeup: no (89%), high cheekbones: no (63%), mouth open: no (54%), mustache: yes (66%), narrow eyes: no (48%), oval face: yes (7%), pale skin: no, pitch: -10.42, pointy nose: no, race: white (96%), receding hairline: no (41%), rosy cheeks: no, sideburns: yes (54%), straight hair: no (15%), wavy hair: no (93%), wearing earrings: no (54%), wearing hat: yes (7%), wearing lipstick: no (98%), wearing necklace: no (82%), wearing necktie: no (43%), yaw: -0.43, young: yes (59%), chin size: extra large, color clothes middle: f6fdfe (20%), color eyes: 302017 (73%), color hair: 10110e (85%), color skin: 6b3a2b, eyebrows corners: average, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: extra raised, eyes distance: average, eyes position: average, eyes shape: extra round, glasses rim: no, hair beard: none, hair color type: black (85%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: short, head shape: extra rect, head width: extra narrow, mouth corners: extra low, mouth height: average, mouth width: small, nose shape: extra straight, nose width: average, teeth visible: no,
ArrayOrder:	5,	 DatasetArray:	D1A11, 	5oclock shadow: yes (46%), age: 26 (60%), arched eyebrows: no (20%), attractive: no (66%), bags under eyes: no (35%), bald: no (16%), bangs: no, beard: yes (52%), big lips: yes (29%), big nose: yes (25%), black hair: yes (77%), blond hair: no, blurry: no (85%), brown hair: no, bushy eyebrows: yes (91%), chubby: yes (5%), double chin: no (40%), expression: neutral (86%), gender: male (96%), glasses: no, goatee: yes (29%), gray hair: no, heavy makeup: no (95%), high cheekbones: no (50%), mouth open: no, mustache: yes (24%), narrow eyes: no, oval face: yes (69%), pale skin: no, pitch: -9.8, pointy nose: no (85%), race: mideast (67%), receding hairline: yes (22%), rosy cheeks: no (94%), sideburns: yes (0%), straight hair: no (18%), wavy hair: no, wearing earrings: no (36%), wearing hat: no (10%), wearing lipstick: no, wearing necklace: no (78%), wearing necktie: no (11%), yaw: -1.94, young: yes (67%), chin size: extra large, color clothes middle: fcefe4 (23%), color eyes: 2c1712 (52%), color hair: 200c05 (66%), color skin: 8d5738, eyebrows corners: average, eyebrows position: low, eyebrows size: extra thin, eyes corners: average, eyes distance: average, eyes position: average, eyes shape: extra round, glasses rim: no, hair beard: none, hair color type: brown (66%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: extra rect, head width: extra narrow, mouth corners: extra low, mouth height: extra thin, mouth width: extra small, nose shape: extra straight, nose width: narrow, teeth visible: no,
ArrayOrder:	6,	 DatasetArray:	D1A11, 	5oclock shadow: yes (36%), age: 16 (60%), arched eyebrows: no (51%), attractive: no (67%), bags under eyes: no (0%), bald: no (80%), bangs: no (56%), beard: yes (51%), big lips: yes (17%), big nose: yes (12%), black hair: yes, blond hair: no, blurry: no (70%), brown hair: no (84%), bushy eyebrows: yes (96%), chubby: no (34%), double chin: no (84%), expression: neutral, gender: male (94%), glasses: no, goatee: yes (26%), gray hair: no, heavy makeup: no (88%), high cheekbones: no (63%), mouth open: no (32%), mustache: yes (27%), narrow eyes: no (45%), oval face: yes (17%), pale skin: no (89%), pitch: -10.47, pointy nose: no, race: white, receding hairline: no (58%), rosy cheeks: no, sideburns: yes (11%), straight hair: yes (31%), wavy hair: no (88%), wearing earrings: no (62%), wearing hat: no (55%), wearing lipstick: no (89%), wearing necklace: no (85%), wearing necktie: no (28%), yaw: -3.23, young: yes (86%), chin size: extra large, color beard: 493727 (62%), color clothes middle: fef8f1 (29%), color eyes: 2d2420 (81%), color hair: 121311 (97%), color skin: 885538, eyebrows corners: average, eyebrows position: average, eyebrows size: extra thin, eyes corners: low, eyes distance: average, eyes position: high, eyes shape: extra round, glasses rim: no, hair beard: thick, hair color type: black (97%), hair forehead: yes, hair length: none, hair mustache: none, hair sides: very thin, hair top: short, head shape: extra rect, head width: narrow, mouth corners: extra low, mouth height: average, mouth width: extra small, nose shape: extra straight, nose width: extra narrow, teeth visible: no,
ArrayOrder:	GT,	 DatasetArray:	D1A11, 	5oclock shadow: yes (61%), age: 26 (60%), arched eyebrows: no (52%), attractive: no (27%), bags under eyes: no (33%), bald: no (70%), bangs: no, beard: yes (57%), big lips: no (11%), big nose: no (1%), black hair: yes (96%), blond hair: no, blurry: no (56%), brown hair: no, bushy eyebrows: yes (65%), chubby: no (47%), double chin: no (84%), expression: neutral (81%), gender: male, glasses: no, goatee: yes (18%), gray hair: no, heavy makeup: no (99%), high cheekbones: no (67%), mouth open: no, mustache: yes (14%), narrow eyes: no (77%), oval face: yes (36%), pale skin: no (73%), pitch: -9.73, pointy nose: no (74%), race: white (89%), receding hairline: no (41%), rosy cheeks: no, sideburns: yes (4%), straight hair: yes (20%), wavy hair: no, wearing earrings: no (73%), wearing hat: no (19%), wearing lipstick: no, wearing necklace: no (96%), wearing necktie: no (13%), yaw: -1.87, young: yes (89%), chin size: small, color eyes: 432e2c (80%), color hair: 10110e (97%), color skin: 87503b, eyebrows corners: average, eyebrows position: high, eyebrows size: extra thin, eyes corners: average, eyes distance: far, eyes position: high, eyes shape: extra round, glasses rim: no, hair beard: none, hair color type: black (97%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: extra rect, head width: extra narrow, mouth corners: extra low, mouth height: thin, mouth width: extra small, nose shape: extra straight, nose width: average, teeth visible: no,
ArrayOrder:	1,	 DatasetArray:	D1A12, 	5oclock shadow: no (24%), age: 34 (60%), arched eyebrows: no (12%), attractive: no (88%), bags under eyes: no (16%), bald: yes (15%), bangs: no (59%), beard: yes (41%), big lips: yes, big nose: yes (89%), black hair: yes (97%), blond hair: no, blurry: no (51%), brown hair: no, bushy eyebrows: yes (35%), chubby: yes (62%), double chin: yes (10%), expression: smile (4%), gender: male (58%), glasses: no, goatee: yes (36%), gray hair: no, heavy makeup: no (74%), high cheekbones: yes (55%), mouth open: no (73%), mustache: yes (35%), narrow eyes: no (97%), oval face: yes (85%), pale skin: no, pitch: -9.12, pointy nose: no, race: asian (64%), receding hairline: yes (45%), rosy cheeks: no (84%), sideburns: no (4%), straight hair: no (54%), wavy hair: no (81%), wearing earrings: yes (3%), wearing hat: no (20%), wearing lipstick: no (76%), wearing necklace: no (35%), wearing necktie: no (49%), yaw: 3.87, young: yes (57%), chin size: extra large, color clothes middle: feeae3 (33%), color eyes: 604e46 (43%), color hair: 100703 (55%), color skin: 4d2313, eyebrows corners: average, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: average, eyes distance: far, eyes position: average, eyes shape: extra round, glasses rim: no, hair beard: none, hair color type: black (55%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: short, head shape: rect, head width: narrow, mouth corners: average, mouth height: extra thick, mouth width: small, nose shape: extra straight, nose width: average, teeth visible: no,
ArrayOrder:	2,	 DatasetArray:	D1A12, 	5oclock shadow: no (55%), age: 32 (60%), arched eyebrows: yes (21%), attractive: no (96%), bags under eyes: yes (13%), bald: yes (53%), bangs: no, beard: yes (15%), big lips: yes, big nose: yes, black hair: yes (79%), blond hair: no, blurry: no (68%), brown hair: no, bushy eyebrows: yes (32%), chubby: yes (65%), double chin: yes (16%), expression: neutral (32%), gender: male (16%), glasses: no, goatee: yes (15%), gray hair: no (74%), heavy makeup: no (72%), high cheekbones: yes (43%), mouth open: no (54%), mustache: yes (16%), narrow eyes: no (74%), oval face: yes (72%), pale skin: no (92%), pitch: -9.33, pointy nose: no, race: black, receding hairline: yes, rosy cheeks: no (96%), sideburns: no (29%), straight hair: no (81%), wavy hair: no (91%), wearing earrings: yes (39%), wearing hat: no (18%), wearing lipstick: no (62%), wearing necklace: no (24%), wearing necktie: no (43%), yaw: 1.02, young: yes (57%), chin size: large, color eyes: 1b0b08 (58%), color hair: 33210b (86%), color skin: 7a3e21, eyebrows corners: low, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: average, eyes distance: extra far, eyes position: extra low, eyes shape: average, glasses rim: no, hair beard: none, hair color type: brown (86%), hair forehead: yes, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: rect, head width: narrow, mouth corners: extra raised, mouth height: extra thick, mouth width: average, nose shape: straight, nose width: extra wide, teeth visible: no,
ArrayOrder:	3,	 DatasetArray:	D1A12, 	5oclock shadow: no (0%), age: 35 (60%), arched eyebrows: no (3%), attractive: no, bags under eyes: no (32%), bald: yes (8%), bangs: no, beard: yes (51%), big lips: yes, big nose: yes (71%), black hair: yes (84%), blond hair: no, blurry: no (66%), brown hair: no, bushy eyebrows: yes (84%), chubby: yes (31%), double chin: no (26%), expression: neutral (78%), gender: male (65%), glasses: no, goatee: yes (50%), gray hair: no, heavy makeup: no (83%), high cheekbones: no (15%), mouth open: no (52%), mustache: yes (42%), narrow eyes: no (97%), oval face: yes (53%), pale skin: no, pitch: -9.33, pointy nose: no, race: hispanic (47%), receding hairline: yes (55%), rosy cheeks: no, sideburns: yes (10%), straight hair: no (70%), wavy hair: no (93%), wearing earrings: yes (14%), wearing hat: yes (9%), wearing lipstick: no (87%), wearing necklace: no (38%), wearing necktie: no (62%), yaw: 0.22, young: yes (80%), chin size: extra large, color clothes middle: fef7f1 (32%), color eyes: 150d0f (49%), color skin: 582b13, eyebrows corners: low, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: low, eyes distance: far, eyes position: average, eyes shape: round, glasses rim: no, hair beard: none, hair color type: black (0%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: extra rect, head width: extra narrow, mouth corners: extra low, mouth height: thick, mouth width: small, nose shape: extra straight, nose width: narrow, teeth visible: no,
ArrayOrder:	4,	 DatasetArray:	D1A12, 	5oclock shadow: no (29%), age: 35 (60%), arched eyebrows: no (20%), attractive: no, bags under eyes: no (28%), bald: yes (55%), bangs: no, beard: yes (47%), big lips: yes, big nose: yes (82%), black hair: yes (58%), blond hair: no, blurry: no (42%), brown hair: no, bushy eyebrows: yes (15%), chubby: yes (66%), double chin: yes (9%), expression: neutral (24%), gender: male (55%), glasses: no, goatee: yes (44%), gray hair: no (79%), heavy makeup: no (85%), high cheekbones: yes (39%), mouth open: no (36%), mustache: yes (39%), narrow eyes: no (97%), oval face: yes (69%), pale skin: no (96%), pitch: -9.24, pointy nose: no, race: asian (61%), receding hairline: yes (92%), rosy cheeks: no (98%), sideburns: no (6%), straight hair: no, wavy hair: no, wearing earrings: yes (16%), wearing hat: yes (19%), wearing lipstick: no (87%), wearing necklace: no (35%), wearing necktie: no (48%), yaw: 7.47, young: yes (62%), chin size: extra large, color eyes: 1d0808 (46%), color hair: 1c0f0a (62%), color skin: 642e22, eyebrows corners: average, eyebrows position: extra low, eyebrows size: extra thin, eyes corners: low, eyes distance: average, eyes position: extra low, eyes shape: extra thin, glasses rim: no, hair beard: none, hair color type: black (62%), hair forehead: no, hair length: none, hair mustache: none, hair sides: very thin, hair top: very short, head shape: extra rect, head width: extra narrow, mouth corners: average, mouth height: average, mouth width: small, nose shape: extra straight, nose width: wide, teeth visible: no,
