ItemNumber,ArrayOrder,DatasetArray,5oclock shadow.yes/no,5oclock shadow.% value,age.number,age.% value,arched eyebrows.yes/no,arched eyebrows.% value,attractive.yes/no,attractive.% value,bags under eyes.yes/no,bags under eyes.% value,bald.yes/no,bald.% value,bangs.yes/no,bangs.% value,beard.yes/no,beard.% value,big lips.yes/no,big lips.% value,big nose.yes/no,big nose.% value,black hair.yes/no,black hair.% value,blond hair.yes/no,blond hair.% value,blurry.yes/no,blurry.% value,brown hair.yes/no,brown hair.% value,bushy eyebrows.yes/no,bushy eyebrows.% value,chubby.yes/no,chubby.% value,double chin.yes/no,double chin.% value,expression.expression,expression.% value,gender.male/female,gender.% value,glasses.yes/no,glasses.% value,goatee.yes/no,goatee.% value,gray hair.yes/no,gray hair.% value,heavy makeup.yes/no,heavy makeup.% value,high cheekbones.yes/no,high cheekbones.% value,mouth open.yes/no,mouth open.% value,mustache.yes/no,mustache.% value,narrow eyes.yes/no,narrow eyes.% value,oval face.yes/no,oval face.% value,pale skin.yes/no,pale skin.% value,pitch,pointy nose.yes/no,pointy nose.% value,race,receding hairline.yes/no,receding hairline.% value,rosy cheeks.yes/no,rosy cheeks.% value,sideburns.yes/no,sideburns.% value,straight hair.yes/no,straight hair.% value,wavy hair.yes/no,wavy hair.% value,wearing earrings.yes/no,wearing earrings.% value,wearing hat.yes/no,wearing hat.% value,wearing lipstick.yes/no,wearing lipstick.% value,wearing necklace.yes/no,wearing necklace.% value,wearing necktie.yes/no,wearing necktie.% value,yaw,young.yes/no,young.% value,chin size,color beard.color,color beard.% value,color background.color,color background.% value,color clothes middle.color,color clothes middle.% value,color clothes sides.color,color clothes sides.% value,color eyes.color,color eyes.% value,color hair.color,color hair.% value,color mustache.color,color mustache.% value,color skin.color,color skin.% value,eyebrows corners,eyebrows position,eyebrows size,eyes corners,eyes distance,eyes position,eyes shape,glasses rim,hair beard,hair color type.color,hair color type.% value,hair forehead,hair length,hair mustache,hair sides,hair top,head shape,head width,mouth corners,mouth height,mouth width,nose shape,nose width,teeth visible 
1,1,D1A1,0,89,17,60,0,66,0,20,0,3,0,21,0,83,0,88,0,54,0,51,0,49,0,26,1,28,0,32,0,999,0,66,0,61,smile,999,female,54,0,999,0,99,0,55,0,89,1,84,1,96,0,999,1,6,1,61,0,4,-8.51,0,72,white,1,46,0,999,0,999,1,44,0,999,0,25,0,89,0,61,0,55,0,66,10.29,1,43,small,999,999,999,999,f5f8fd,5,999,999,4b3823,80,584421,71,999,999,936546,999,average,low,extra thin,average,close,extra low,round,0,none,blond,71,0,none,none,very thin,average,heart,narrow,extra raised,thick,extra wide,extra straight,extra wide,0
2,2,D1A1,0,999,36,60,1,14,1,58,0,93,0,45,0,999,0,999,0,46,0,72,0,92,1,7,0,86,1,8,0,999,0,71,0,64,smile,999,female,93,0,999,0,999,0,55,1,61,1,94,1,999,0,999,0,999,1,999,0,17,-8,0,18,white,1,36,1,22,0,999,1,32,0,75,1,65,0,999,1,79,0,13,0,75,7.34,1,25,extra small,999,999,999,999,fdfef6,29,999,999,6d685d,66,664a2b,84,999,999,a8826e,999,average,extra low,extra thin,average,far,extra low,round,0,none,blond,84,0,none,none,thin,short,rect,wide,extra raised,extra thick,extra wide,extra straight,extra wide,1
3,3,D1A1,0,999,16,60,0,57,1,19,0,999,0,56,0,67,0,999,0,83,0,999,0,64,0,27,0,32,1,44,0,999,0,86,0,89,smile,999,female,99,0,999,0,0,0,71,0,22,1,70,1,86,0,999,0,999,1,999,0,34,-9.07,0,35,white,1,12,0,36,0,999,1,97,0,999,1,16,0,999,1,23,0,33,0,83,2.34,1,40,small,999,999,999,999,493529,1,999,999,5d4839,74,544127,88,999,999,9f7055,999,average,low,extra thin,average,average,average,extra round,0,none,blond,88,0,none,none,very thin,short,rect,narrow,extra raised,extra thick,wide,extra straight,wide,1
4,4,D1A1,0,98,34,60,1,21,0,0,0,69,0,26,0,999,0,97,0,27,0,41,0,1,0,72,0,66,0,26,0,73,0,46,0,63,smile,97,female,98,0,999,0,999,0,79,1,10,1,77,1,90,0,999,0,80,1,999,0,86,-9.04,0,42,white,1,88,0,17,0,999,1,70,0,999,1,74,0,96,1,36,0,15,0,87,3.64,1,71,large,999,999,999,999,3b2b22,1,999,999,614b43,62,543825,88,999,999,9c6b53,999,extra low,extra low,extra thin,average,close,low,extra round,0,none,brown light,88,0,none,none,very thin,very short,rect,extra narrow,extra raised,extra thick,extra wide,extra straight,average,1
5,5,D1A1,0,999,18,60,0,4,1,14,0,95,0,23,0,999,0,96,0,26,0,51,1,25,0,74,0,84,0,43,0,90,0,53,0,67,smile,72,female,97,0,999,0,98,0,79,1,22,1,50,1,999,0,999,0,999,1,999,0,52,-9.01,0,56,white,1,72,0,22,0,999,1,63,0,999,1,71,0,83,1,51,0,18,0,77,2.85,1,71,extra small,999,999,999,999,2c221b,1,999,999,6d6761,75,4a3725,96,999,999,95694f,999,average,extra low,extra thin,average,average,low,extra round,0,none,blond,96,0,none,none,very thin,short,rect,wide,extra raised,extra thick,average,extra straight,extra narrow,1
6,6,D1A1,0,16,41,60,0,60,0,10,0,44,0,16,0,97,0,37,0,54,0,36,0,90,0,58,0,53,1,47,0,999,0,63,0,48,smile,34,male,28,0,999,0,72,0,42,0,89,0,17,1,97,0,83,0,999,1,61,0,31,-8.81,0,44,white,1,84,0,91,0,78,1,12,0,95,0,23,0,999,0,73,0,70,0,25,-10.53,1,27,average,999,999,fdf5fc,8,fcfcf4,13,999,999,5f6065,36,816959,22,999,999,ac785e,999,average,extra low,extra thin,extra low,close,extra low,extra round,0,none,brown light,22,0,none,none,very thin,very short,average,narrow,extra raised,extra thick,average,extra straight,average,1
7,GT,D1A1,0,999,14,60,1,20,1,41,0,999,0,24,0,999,0,999,0,45,0,85,0,33,0,46,0,72,0,10,0,999,0,68,0,73,smile,85,female,97,0,999,0,999,0,71,1,64,1,66,1,75,0,999,0,999,1,999,0,30,-7.89,0,17,white,1,64,1,13,0,999,1,49,0,999,1,72,0,999,1,74,0,23,0,76,9.4,1,53,extra small,999,999,999,999,df2ea,35,999,999,554c4f,83,563d2f,95,999,999,a37b68,999,average,extra low,extra thin,average,far,extra low,extra round,0,none,brown light,95,0,very short,none,thin,average,average,average,extra raised,average,small,extra straight,extra wide,1
8,1,D1A2,0,96,16,60,1,26,1,64,0,999,0,48,0,999,0,88,0,36,0,999,0,73,1,33,0,999,0,2,0,82,0,92,0,999,smile,9,female,91,0,999,0,84,0,71,1,78,0,5,1,999,0,89,0,999,1,999,0,24,-9.5,1,16,white,1,7,1,13,0,78,1,999,0,999,0,9,0,999,1,95,0,18,0,67,5,1,80,extra small,999,999,999,999,796244,16,87714c,1,48322d,57,654a33,75,999,999,c98e6c,999,low,low,extra thin,average,average,average,extra round,0,none,brown light,75,0,very long,none,average,short,average,average,extra raised,extra thick,small,extra straight,extra wide,1
9,2,D1A2,0,95,19,60,0,4,1,7,0,999,0,42,0,999,0,98,0,29,0,80,0,65,0,42,0,69,1,53,0,999,0,78,0,84,smile,4,female,999,0,999,0,96,0,77,1,21,1,6,1,999,0,999,0,999,1,86,0,69,-9.23,0,28,white,1,65,0,23,0,999,1,50,0,999,1,51,0,999,1,54,0,5,0,90,0.95,1,59,extra small,999,999,999,999,7a5c29,10,79633c,1,372e1d,49,49351a,63,999,999,bf8a66,999,average,extra low,extra thin,average,average,average,extra round,0,none,blond,63,0,very long,none,average,short,rect,wide,extra raised,extra thick,average,extra straight,average,0
10,3,D1A2,0,93,17,60,1,25,1,999,0,999,0,73,0,31,0,92,0,52,0,999,0,71,1,25,0,999,0,3,0,25,0,999,0,999,smile,99,female,94,0,999,0,80,0,92,1,80,1,57,1,76,0,94,0,999,1,999,0,4,-9.33,0,6,white,0,59,1,25,0,86,1,999,0,999,1,7,0,999,1,89,0,22,0,68,-2.51,1,999,extra small,999,999,999,999,734f37,9,999,999,3e302a,54,6a482d,70,999,999,c68c6a,999,average,extra low,extra thin,average,far,extra low,extra round,0,none,brown light,70,0,very long,none,average,short,heart,average,extra raised,thick,wide,extra straight,extra wode,0
